Model,MSE,RMSE,MAE,R2 Score
Gradient Boosting,155.70555005310715,12.478202997752005,10.109542310467795,0.9829922537424782
Random Forest,177.71006953019497,13.330794032247104,10.603518425109327,0.9805886959781123
Ridge,181.36127105140736,13.467043886889481,10.578114009909477,0.9801898745553262
Linear Regression,181.71415341716317,13.480139220985931,10.57891950645924,0.9801513291487336
Lasso,182.91580676936573,13.52463702911711,10.607210176243289,0.9800200723290712
Extra Trees,193.23262049354616,13.90081366300355,11.04253431403677,0.9788931648428119
ElasticNet,230.58135922303438,15.184905637607182,11.724328600305988,0.9748135551491757
AdaBoost,248.12007986715034,15.751827826228622,12.420101679236046,0.9728977974238091
Decision Tree,365.71588356263715,19.123699526049794,15.262345578502712,0.9600527858650045
K-Neighbors,693.6773794295187,26.337755778150854,20.549523162283165,0.9242294905358481
SVR,1561.1856824514825,39.51184230647164,31.313060128094865,0.8294713968837042
